ltv0,ltv1,ltv2
7.529193335,8.075823538,8.393170651
7.534250912,8.081048537,8.406508796
7.539070984,8.08630099,8.420734439
7.548959378,8.095487527,8.436532463
7.554970216,8.102117786,8.451396376
7.560917464,8.1083227,8.461770619
7.567392417,8.114863146,8.47299112
7.57457579,8.121902,8.48390403
7.582051707,8.129224842,8.495783953
7.587587017,8.134626461,8.504968253
7.592714036,8.140262097,8.515214926
7.598650205,8.146368808,8.528276403
7.608689647,8.156262488,8.539516696
7.616097941,8.163372288,8.547897253
7.621625937,8.168796098,8.560335015
7.625889487,8.173032167,8.571094154
7.629788944,8.17738669,8.580703051
7.635698222,8.182702167,8.592644261
7.63944022,8.18684185,8.604398987
7.64464948,8.192846661,8.616170477
7.650589026,8.198557109,8.627265607
7.658994228,8.206302685,8.638393538
7.663853538,8.211042301,8.648710697
7.668185422,8.215583182,8.660913894
7.673598597,8.221282825,8.674715709
7.677311757,8.225424475,8.688237706
7.685066709,8.232635351,8.699865875
7.689010373,8.236424482,8.712904936
7.694952372,8.242436756,8.72429487
