day,ppl,amount
2020/7/27,3956,4641376
2020/7/28,2995,23430352
2020/7/29,3468,17188300
2020/7/30,3248,12817025
2020/7/31,3588,12619619
2020/8/1,4318,11002561
2020/8/2,4514,9352244
2020/8/3,3771,12110841
2020/8/4,3693,13190093
2020/8/5,3649,7516785
2020/8/6,4776,6641446
2020/8/7,5857,6649216
2020/8/8,6597,6167468
2020/8/9,6680,5433071
2020/8/10,5963,6188836
2020/8/11,4306,18806140
2020/8/12,5022,10399929
2020/8/13,5188,8306337
2020/8/14,4807,7845181
2020/8/15,4913,7003716
2020/8/16,5025,7141875
2020/8/17,4385,7491452
2020/8/18,3749,10955008
2020/8/19,4098,6676635
2020/8/20,4381,6518052
2020/8/21,4098,5694288
2020/8/22,4308,6154400
2020/8/23,4504,4820390
2020/8/24,4385,5079405
2020/8/25,3692,18456831
2020/8/26,3810,12755727
2020/8/27,3532,14056433
2020/8/28,5529,11456646
2020/8/29,8748,10140966
2020/8/30,7896,9576562
2020/8/31,5071,9924933
2020/9/1,3640,16427352
2020/9/2,4101,8064683
2020/9/3,3997,7035235
2020/9/4,5500,7667530
2020/9/5,7254,6809253
2020/9/6,7725,5790755
2020/9/7,5192,5142202
2020/9/8,3270,14563169
2020/9/9,3804,8913008
2020/9/10,3866,7367188
2020/9/11,4731,7246613
2020/9/12,6735,6965421
2020/9/13,6243,5957929
2020/9/14,4286,6616216
2020/9/15,3195,10459863
2020/9/16,3033,6207887
2020/9/17,3062,5686265
2020/9/18,3745,5684108
2020/9/19,5279,6782816
2020/9/20,5542,5444480
2020/9/21,4048,4832055
2020/9/22,2391,17072732
2020/9/23,3221,11264180
2020/9/24,3292,9108417
2020/9/25,3897,10396791
2020/9/26,5221,13788198
2020/9/27,5209,8932107
2020/9/28,3955,9588417
2020/9/29,2960,9928194
2020/9/30,3406,6546928
2020/10/1,3909,5862227
2020/10/2,3671,4687050
2020/10/3,4197,4290428
2020/10/4,4645,3364891
2020/10/5,3795,3447153
2020/10/6,3562,14502296
2020/10/7,3511,8444342
2020/10/8,3502,6660768
2020/10/9,3860,6537865
2020/10/10,2252,5351491
2020/10/11,1340,4783612
2020/10/12,2965,5891193
2020/10/13,2487,8306086
2020/10/14,2939,5086606
2020/10/15,2973,5015482
2020/10/16,2848,4333434
2020/10/17,3056,5009727
2020/10/18,3146,4005861
2020/10/19,2443,3804127
2020/10/20,2281,13950723
2020/10/21,2403,11317774
2020/10/22,2319,8672474
2020/10/23,2575,7936685
2020/10/24,3055,6946448
2020/10/25,3110,5333813
2020/10/26,2755,7185178
2020/10/27,2199,13235144
2020/10/28,2561,6070648
2020/10/29,2489,5271027
2020/10/30,2335,7024966
2020/10/31,2831,5695186
2020/11/1,3160,4993265
2020/11/2,2516,4965900
2020/11/3,2190,12886808
2020/11/4,2377,7144294
2020/11/5,2526,6027904
2020/11/6,2337,6341847
2020/11/7,2827,5336091
2020/11/8,2997,4665371
2020/11/9,2168,5285696
2020/11/10,1382,10011748
2020/11/11,1794,5967688
2020/11/12,1806,6945304
2020/11/13,1602,6494022
2020/11/14,2019,5896853
2020/11/15,2010,5215852
2020/11/16,1583,6685078
2020/11/17,1432,14223709
2020/11/18,1365,9470473
2020/11/19,1420,7875592
2020/11/20,1461,7861267
2020/11/21,1724,6855140
2020/11/22,1957,5531805
2020/11/23,1406,6188641
2020/11/24,1063,7898244
2020/11/25,1318,4215523
2020/11/26,1432,7693235
2020/11/27,1391,6812168
2020/11/28,1890,5302771
2020/11/29,1968,4187096
2020/11/30,1445,4013953
2020/12/1,1248,7793699
2020/12/2,1240,4487983
2020/12/3,1362,4003778
2020/12/4,1276,4358072
2020/12/5,1669,4209954
2020/12/6,1821,3854587
2020/12/7,1302,3937539
2020/12/8,1187,11054032
2020/12/9,1555,6505210
2020/12/10,1612,4750717
2020/12/11,2068,5292670
2020/12/12,2344,4342228
2020/12/13,2401,3815337
2020/12/14,1801,4619663
2020/12/15,1761,8524643
2020/12/16,1750,4852494
2020/12/17,1551,4248025
2020/12/18,1495,4428753
2020/12/19,1939,4237463
2020/12/20,1971,3290979
2020/12/21,1615,3954213
2020/12/22,1237,16700945
2020/12/23,1439,11667051
2020/12/24,1557,11068207
2020/12/25,1983,10500272
2020/12/26,4505,8234871
2020/12/27,4761,7219389
2020/12/28,2692,9154943
2020/12/29,2260,8852034
2020/12/30,2066,7804077
